date,fund,price
2026-03-17,Zwitserleven PW Europees Beheer Fonds 4%,184.61
2026-03-17,Zwitserleven PW Garandement,15.75
2026-03-17,Zwitserleven PW Garantie Plusfonds,17.92
2026-03-17,Zwitserleven PW Garantiefonds,13.17
2026-03-17,Zwitserleven PW Safetyfonds,109.68
2026-03-17,Zwitserleven PW Vastrentendfonds,19.35
2026-03-17,Zwitserleven PW Vastrentendfonds Nederland 3%,19.82
2026-03-17,Zwitserleven PW Vastrentendfonds Nederland 4%,19.82
2026-03-17,Zwitserleven PW Verzekerd Rendementfonds,14.78
2026-03-17,Zwitserleven PW Wereldbeheerfonds 3%,137.07
2026-03-17,Zwitserleven PW Wereldbeheerfonds 4%,138.3
2026-03-17,Zwitserleven RZL Amerika Aandelenfonds,89.34
2026-03-17,Zwitserleven RZL Azië Aandelenfonds,47.54
2026-03-17,Zwitserleven RZL Euro Kortlopend Obligatiefonds,19.96
2026-03-17,Zwitserleven RZL Euro Mixfonds,43.58
2026-03-17,Zwitserleven RZL Euro Obligatiefonds,26.42
2026-03-17,Zwitserleven RZL Europa Aandelenfonds,55.94
2026-03-17,Zwitserleven RZL Vastgoedfonds,46.03
2026-03-17,Zwitserleven RZL Wereld Aandelenfonds,60.43
2026-03-17,Zwitserleven RendementsGarantie 1%,23.15
2026-03-17,Zwitserleven RendementsGarantie 2%,26.29
2026-03-17,Zwitserleven Selectie Fonds,40.25
2026-03-17,Zwitserleven Ultra Long Duration Fonds,22.94
2026-03-17,Zwitserleven VP Credits Hypothekenmix,9.96
2026-03-17,Zwitserleven VP Obligatie,8.78
2026-03-17,Zwitserleven VP Selectie,10.26
2026-03-17,Zwitserleven VP Wereld Aandelen,13.34
2026-03-17,Zwitserleven Vanguard Inflation Linked Bond Index Fund,25.45
2026-03-17,Zwitserleven Vanguard Small Cap Fund,26.6
2026-03-17,Zwitserleven Vastgoedfonds,25.29
2026-03-17,Zwitserleven Wereld Aandelenfonds,85.47
2026-03-17,Zwitser­leven Geldmarkt­fonds,25.24
2026-03-17,Zwitser­leven PPI Geldmarkt­fonds,50.48
2026-03-17,Zwitser­leven PPI Vanguard US 500 Stock Index Fund,49.39
2026-03-17,Zwitser­leven Vanguard US 500 Stock Index Fund,24.69
2026-03-18,ASN Duurzaam Aandelenfonds,194.32
2026-03-18,ASN Duurzaam Obligatiefonds,25.41
2026-03-18,ASN Milieu & Waterfonds,51.1
2026-03-18,Etappe Euro Aandelen­fonds,60.09
2026-03-18,Etappe Euro Obligatie­fonds,25.67
2026-03-18,Etappe Staatsobligaties 10+ Fonds,21.48
2026-03-18,Euro Aandelen­fonds,58.99
2026-03-18,Euro Mixfonds,38.6
2026-03-18,Euro Obligatiefonds,24.46
2026-03-18,Optimaal Euro Obligatiefonds,24.66
2026-03-18,Optimaal Staatsobligaties 10+ Fonds,21.64
2026-03-18,Optimaal Vastgoedfonds,34.95
2026-03-18,Optimaal Wereld Aandelenfonds,71.8
2026-03-18,Optimaalfonds Oranje,37.36
2026-03-18,PP Euro Aandelenfonds,63.18
2026-03-18,PP Euro Mixfonds,41.61
2026-03-18,PP Euro Obligatiefonds,25.54
2026-03-18,PP Optimaal Euro Mixfonds,40.74
2026-03-18,PP Wereld Aandelenfonds,75.68
2026-03-18,Wereld Beheer Mixfonds,38.5
2026-03-18,Zwitserleven Amerika Aandelenfonds,97.92
2026-03-18,Zwitserleven Credits Fonds,11.4
2026-03-18,Zwitserleven Credits Hypotheken Mixfonds,11.37
2026-03-18,Zwitserleven Duurzaam Wereld Aandelenfonds,36.9
2026-03-18,Zwitserleven Europees Aandelenfonds,37.2
2026-03-18,Zwitserleven Government Bonds 10+ Fonds,8.15
2026-03-18,Zwitserleven Index Aandelenfonds Europa,42.84
2026-03-18,Zwitserleven Index Aandelenfonds Noord-Amerika,49.0
2026-03-18,Zwitserleven Index Aandelenfonds Opkomende Landen,33.93
2026-03-18,Zwitserleven Index Aandelenfonds Pacific,38.58
2026-03-18,Zwitserleven Index Wereld Aandelenfonds,88.28
2026-03-18,Zwitserleven Kortlopend Obligatiefonds,6.06
2026-03-18,Zwitserleven Lifestyle Garantie,168.9
2026-03-18,Zwitserleven Long Duration Fonds,26.57
2026-03-18,Zwitserleven MaatschappijGarantie (2%),41.66
2026-03-18,Zwitserleven MaatschappijGarantie (3%),46.44
2026-03-18,Zwitserleven MaatschappijGarantie plus,53.55
2026-03-18,Zwitserleven Medium Duration Fonds,28.03
2026-03-18,Zwitserleven Mixfonds,58.11
2026-03-18,Zwitserleven Obligatiefonds,17.42
2026-03-18,Zwitserleven PPI Vanguard Inflation Linked Bond Index Fund,50.95
2026-03-18,Zwitserleven PPI Vanguard Small Cap Fund,53.62
2026-03-18,Zwitserleven PPI iShares Government Bond index Fund,49.78
2026-03-18,Zwitserleven PW Collectief Garantiefonds,19.89
2026-03-18,Zwitserleven PW Doorlopend Garantiefonds,13.31
2026-03-18,Zwitserleven PW Europees Beheer Fonds 3%,183.48
2026-03-18,Zwitserleven PW Europees Beheer Fonds 4%,185.37
2026-03-18,Zwitserleven PW Garandement,15.77
2026-03-18,Zwitserleven PW Garantie Plusfonds,17.97
2026-03-18,Zwitserleven PW Garantiefonds,13.2
2026-03-18,Zwitserleven PW Safetyfonds,110.04
2026-03-18,Zwitserleven PW Vastrentendfonds,19.38
2026-03-18,Zwitserleven PW Vastrentendfonds Nederland 3%,19.84
2026-03-18,Zwitserleven PW Vastrentendfonds Nederland 4%,19.84
2026-03-18,Zwitserleven PW Verzekerd Rendementfonds,14.82
2026-03-18,Zwitserleven PW Wereldbeheerfonds 3%,137.38
2026-03-18,Zwitserleven PW Wereldbeheerfonds 4%,138.61
2026-03-18,Zwitserleven RZL Amerika Aandelenfonds,89.26
2026-03-18,Zwitserleven RZL Azië Aandelenfonds,47.72
2026-03-18,Zwitserleven RZL Euro Kortlopend Obligatiefonds,19.97
2026-03-18,Zwitserleven RZL Euro Mixfonds,43.76
2026-03-18,Zwitserleven RZL Euro Obligatiefonds,26.46
2026-03-18,Zwitserleven RZL Europa Aandelenfonds,56.32
2026-03-18,Zwitserleven RZL Vastgoedfonds,46.2
2026-03-18,Zwitserleven RZL Wereld Aandelenfonds,60.63
2026-03-18,Zwitserleven RendementsGarantie 1%,23.15
2026-03-18,Zwitserleven RendementsGarantie 2%,26.29
2026-03-18,Zwitserleven Selectie Fonds,40.43
2026-03-18,Zwitserleven Ultra Long Duration Fonds,23.04
2026-03-18,Zwitserleven VP Credits Hypothekenmix,9.98
2026-03-18,Zwitserleven VP Obligatie,8.8
2026-03-18,Zwitserleven VP Selectie,10.29
2026-03-18,Zwitserleven VP Wereld Aandelen,13.38
2026-03-18,Zwitserleven Vanguard Inflation Linked Bond Index Fund,25.45
2026-03-18,Zwitserleven Vanguard Small Cap Fund,26.73
2026-03-18,Zwitserleven Vastgoedfonds,25.42
2026-03-18,Zwitserleven Wereld Aandelenfonds,85.8
2026-03-18,Zwitser­leven Geldmarkt­fonds,25.25
2026-03-18,Zwitser­leven PPI Geldmarkt­fonds,50.49
2026-03-18,Zwitser­leven PPI Vanguard US 500 Stock Index Fund,49.51
2026-03-18,Zwitser­leven Vanguard US 500 Stock Index Fund,24.75
2026-03-19,ASN Duurzaam Aandelenfonds,193.31
2026-03-19,ASN Duurzaam Obligatiefonds,25.36
2026-03-19,ASN Milieu & Waterfonds,50.75
2026-03-19,Etappe Euro Aandelen­fonds,59.62
2026-03-19,Etappe Euro Obligatie­fonds,25.62
2026-03-19,Etappe Staatsobligaties 10+ Fonds,21.43
2026-03-19,Euro Aandelen­fonds,58.54
2026-03-19,Euro Mixfonds,38.42
2026-03-19,Euro Obligatiefonds,24.42
2026-03-19,Optimaal Euro Obligatiefonds,24.62
2026-03-19,Optimaal Staatsobligaties 10+ Fonds,21.59
2026-03-19,Optimaal Vastgoedfonds,34.72
2026-03-19,Optimaal Wereld Aandelenfonds,71.36
2026-03-19,Optimaalfonds Oranje,37.22
2026-03-19,PP Euro Aandelenfonds,62.69
2026-03-19,PP Euro Mixfonds,41.41
2026-03-19,PP Euro Obligatiefonds,25.5
2026-03-19,PP Optimaal Euro Mixfonds,40.55
2026-03-19,PP Wereld Aandelenfonds,75.21
2026-03-19,Wereld Beheer Mixfonds,38.35
2026-03-19,Zwitserleven Amerika Aandelenfonds,96.49
2026-03-19,Zwitserleven Credits Fonds,11.39
2026-03-19,Zwitserleven Credits Hypotheken Mixfonds,11.36
2026-03-19,Zwitserleven Duurzaam Wereld Aandelenfonds,36.6
2026-03-19,Zwitserleven Europees Aandelenfonds,36.92
2026-03-19,Zwitserleven Government Bonds 10+ Fonds,8.13
2026-03-19,Zwitserleven Index Aandelenfonds Europa,42.48
2026-03-19,Zwitserleven Index Aandelenfonds Noord-Amerika,48.36
2026-03-19,Zwitserleven Index Aandelenfonds Opkomende Landen,34.63
2026-03-19,Zwitserleven Index Aandelenfonds Pacific,37.67
2026-03-19,Zwitserleven Index Wereld Aandelenfonds,87.97
2026-03-19,Zwitserleven Kortlopend Obligatiefonds,6.06
2026-03-19,Zwitserleven Lifestyle Garantie,168.91
2026-03-19,Zwitserleven Long Duration Fonds,26.62
2026-03-19,Zwitserleven MaatschappijGarantie (2%),41.66
2026-03-19,Zwitserleven MaatschappijGarantie (3%),46.45
2026-03-19,Zwitserleven MaatschappijGarantie plus,53.55
2026-03-19,Zwitserleven Medium Duration Fonds,27.97
2026-03-19,Zwitserleven Mixfonds,57.84
2026-03-19,Zwitserleven Obligatiefonds,17.39
2026-03-19,Zwitserleven PPI Vanguard Inflation Linked Bond Index Fund,50.92
2026-03-19,Zwitserleven PPI Vanguard Small Cap Fund,53.35
2026-03-19,Zwitserleven PPI iShares Government Bond index Fund,49.9
2026-03-19,Zwitserleven PW Collectief Garantiefonds,19.83
2026-03-19,Zwitserleven PW Doorlopend Garantiefonds,13.29
2026-03-19,Zwitserleven PW Europees Beheer Fonds 3%,182.6
2026-03-19,Zwitserleven PW Europees Beheer Fonds 4%,184.48
2026-03-19,Zwitserleven PW Garandement,15.75
